Exited,Scaled Score,France ,Spain ,Male,Scaled Age,Scaled Tenure,Scaled Balance ,NumOfProducts,Balance to Salary Ratio,Product to tenure Ratio ,Age Tenure,Engagement Score,Scaled Salary,IsActiveMember,Female,Germany,Age,Tenure,HasCrCard,Balance,EstimatedSalary,Year,CreditScore
1,0.49 ,0,1,0,0.77 ,0.34 ,(1.23),1,0%,0.17,0.13,0%,(0.87),0,1,0,47,6,1,£0.00,"£50,213.81",2025,698
1,(1.27),1,0,0,(0.28),(1.39),1.29 ,1,105%,1.00,0.03,100%,0.87 ,1,1,0,36,1,1,"£156,948.41","£149,912.28",2025,528
1,(0.69),0,1,0,1.91 ,(1.39),(1.23),1,0%,1.00,0.02,100%,0.52 ,1,1,0,59,1,0,£0.00,"£130,260.11",2025,584
1,(0.95),1,0,1,0.58 ,1.03 ,(0.84),1,14%,0.13,0.18,13%,1.21 ,1,0,0,45,8,0,"£24,043.45","£169,781.45",2025,559
1,(1.08),0,0,0,1.82 ,(0.70),0.48 ,4,83%,1.33,0.05,0%,0.50 ,0,1,1,58,3,1,"£106,458.31","£128,881.87",2025,546
1,(0.73),0,0,1,(1.42),(1.39),0.92 ,1,779%,1.00,0.04,0%,(1.44),0,0,1,24,1,1,"£133,811.78","£17,185.95",2025,580
1,0.53 ,0,0,0,2.01 ,(0.00),1.00 ,2,334%,0.40,0.08,40%,(1.02),1,1,1,60,5,1,"£138,597.54","£41,536.59",2025,702
1,1.40 ,0,0,0,(0.56),(1.73),0.73 ,1,352%,1.00,0.00,0%,(1.14),0,1,1,33,0,0,"£122,325.58","£34,712.34",2025,786
1,0.56 ,0,0,0,(0.56),(0.00),0.65 ,1,61%,0.20,0.15,0%,1.57 ,0,1,1,33,5,0,"£116,765.70","£190,659.17",2025,705
1,0.57 ,0,0,0,0.87 ,1.72 ,0.45 ,3,66%,0.30,0.21,30%,1.01 ,1,1,1,48,10,0,"£104,478.12","£158,248.71",2025,706
1,(1.38),0,0,0,1.91 ,1.03 ,1.24 ,2,152%,0.25,0.14,0%,0.02 ,0,1,1,59,8,1,"£154,110.99","£101,240.08",2025,517
1,(1.00),0,0,0,0.39 ,(1.04),0.71 ,1,1588%,0.50,0.05,0%,(1.61),0,1,1,43,2,1,"£120,847.11","£7,611.61",2025,554
1,0.09 ,0,1,1,2.01 ,(1.04),(1.23),1,0%,0.50,0.03,0%,1.35 ,0,0,0,60,2,1,£0.00,"£177,480.45",2025,659
1,0.79 ,0,1,0,(0.76),(1.73),(1.23),1,0%,1.00,0.00,0%,0.38 ,0,1,0,31,0,1,£0.00,"£121,751.04",2025,727
1,0.06 ,0,0,0,0.67 ,0.69 ,1.04 ,1,280%,0.14,0.15,0%,(0.86),0,1,1,46,7,1,"£141,535.52","£50,595.15",2025,656
1,(2.95),0,0,1,(0.85),(1.73),0.82 ,1,157%,1.00,0.00,0%,(0.32),0,0,1,30,0,1,"£127,760.07","£81,537.85",2025,365
1,(0.32),1,0,0,2.96 ,(0.70),0.18 ,2,264%,0.67,0.04,0%,(1.16),0,1,0,70,3,1,"£87,926.24","£33,350.26",2025,620
1,1.13 ,1,0,1,0.01 ,0.34 ,1.64 ,1,266%,0.17,0.15,0%,(0.57),0,0,0,39,6,1,"£178,585.46","£67,131.30",2025,760
1,1.68 ,0,0,0,(0.95),(0.00),0.47 ,1,56%,0.20,0.17,0%,1.53 ,0,1,1,29,5,0,"£106,059.40","£187,976.88",2025,813
1,(0.66),0,0,1,(0.37),(0.00),0.73 ,1,519%,0.20,0.14,20%,(1.33),1,0,1,35,5,1,"£121,863.61","£23,481.69",2025,587
1,0.98 ,0,0,1,0.58 ,1.72 ,0.65 ,3,96%,0.30,0.22,30%,0.39 ,1,0,1,45,10,1,"£117,231.63","£122,381.02",2025,745
1,(0.14),0,0,0,0.01 ,(0.70),0.53 ,1,124%,0.33,0.08,33%,(0.20),1,1,1,39,3,1,"£109,698.41","£88,391.29",2025,637
1,1.31 ,1,0,0,(0.95),1.38 ,0.88 ,1,80%,0.11,0.31,11%,1.11 ,1,1,0,29,9,1,"£131,240.61","£163,746.09",2025,777
1,0.49 ,0,1,0,(0.76),1.03 ,1.74 ,1,160%,0.13,0.26,0%,0.27 ,0,1,0,31,8,0,"£185,078.26","£115,337.74",2025,698
1,0.79 ,0,1,0,1.25 ,(1.39),1.25 ,1,193%,1.00,0.02,0%,(0.34),0,1,0,52,1,1,"£154,733.97","£80,259.67",2025,727
1,0.78 ,1,0,1,(0.95),0.69 ,(1.23),2,0%,0.29,0.24,29%,(0.14),1,0,0,29,7,1,£0.00,"£91,844.14",2025,726
1,0.00 ,0,1,1,(0.09),(1.04),(1.23),3,0%,1.50,0.05,0%,(0.57),0,0,0,38,2,1,£0.00,"£67,029.82",2025,651
1,1.02 ,0,1,1,0.29 ,1.38 ,2.34 ,1,220%,0.11,0.21,0%,0.02 ,0,0,0,42,9,0,"£222,267.63","£101,108.85",2025,749
1,(2.04),1,0,1,(0.95),0.34 ,(1.23),1,0%,0.17,0.21,0%,1.71 ,0,0,0,29,6,0,£0.00,"£198,376.02",2025,453
1,0.76 ,0,0,1,(0.56),(0.35),0.19 ,1,47%,0.25,0.12,25%,1.51 ,1,0,1,33,4,0,"£88,046.88","£186,942.49",2025,724
1,(0.72),0,0,0,(1.23),(0.70),0.46 ,1,57%,0.33,0.12,33%,1.47 ,1,1,1,26,3,1,"£105,099.45","£184,520.00",2025,581
1,(1.40),1,0,0,1.82 ,(1.04),0.89 ,1,162%,0.50,0.03,0%,(0.32),0,1,0,58,2,1,"£131,852.81","£81,436.68",2025,515
1,(3.03),0,1,0,1.25 ,1.03 ,1.07 ,3,101%,0.38,0.15,0%,0.73 ,0,1,0,52,8,1,"£143,542.36","£141,959.11",2025,358
1,(0.64),1,0,1,(0.09),(0.35),(1.23),1,0%,0.25,0.11,0%,(0.08),0,0,0,38,4,1,£0.00,"£95,483.48",2025,589
1,0.50 ,1,0,1,(1.61),1.38 ,0.37 ,1,145%,0.11,0.41,0%,(0.55),0,0,0,22,9,1,"£99,339.00","£68,297.61",2025,699
1,(0.75),0,1,1,0.10 ,0.34 ,(0.21),1,85%,0.17,0.15,0%,(0.44),0,0,0,40,6,0,"£63,609.92","£74,965.61",2025,578
1,1.25 ,1,0,0,0.20 ,1.72 ,0.51 ,4,79%,0.40,0.24,40%,0.65 ,1,1,0,41,10,1,"£108,309.00","£137,510.41",2025,771
1,0.88 ,1,0,0,(1.42),(1.73),(1.23),2,0%,2.00,0.00,0%,0.16 ,0,1,0,24,0,1,£0.00,"£109,355.73",2025,736
1,(0.02),0,1,0,0.96 ,(1.04),(1.23),1,0%,0.50,0.04,0%,(0.26),0,1,0,49,2,1,£0.00,"£84,863.85",2025,649
1,(0.53),0,1,0,0.01 ,(0.35),(1.23),1,0%,0.25,0.10,0%,1.64 ,0,1,0,39,4,1,£0.00,"£194,273.20",2025,599
1,(1.34),0,1,0,(0.47),0.69 ,(0.09),1,349%,0.14,0.21,14%,(1.39),1,1,0,34,7,1,"£70,731.07","£20,243.97",2025,521
1,(1.28),1,0,1,0.01 ,(0.35),(1.23),2,0%,0.50,0.10,0%,1.17 ,0,0,0,39,4,1,£0.00,"£167,183.07",2025,527
1,(0.49),1,0,0,(1.42),(0.70),(1.23),1,0%,0.33,0.13,33%,1.72 ,1,1,0,24,3,1,£0.00,"£198,826.03",2025,603
1,(0.99),1,0,0,0.48 ,(0.70),0.47 ,3,175%,1.00,0.07,0%,(0.69),0,1,0,44,3,1,"£105,770.70","£60,533.96",2025,555
1,0.96 ,0,0,1,2.49 ,(1.04),0.89 ,1,137%,0.50,0.03,50%,(0.06),1,0,1,65,2,1,"£131,935.51","£96,399.67",2025,743
1,(2.87),1,0,1,0.29 ,0.69 ,(1.23),1,0%,0.14,0.17,0%,(0.39),0,0,0,42,7,1,£0.00,"£77,786.37",2025,373
1,(0.50),1,0,0,0.29 ,1.72 ,(1.23),2,0%,0.20,0.24,0%,1.21 ,0,1,0,42,10,0,£0.00,"£169,921.11",2025,602
1,(0.74),0,0,0,0.01 ,(0.00),0.66 ,3,2021%,0.60,0.13,0%,(1.64),0,1,1,39,5,0,"£117,833.30","£5,831.00",2025,579
1,1.02 ,1,0,0,2.01 ,0.34 ,(1.23),1,0%,0.17,0.10,0%,(1.43),0,1,0,60,6,1,£0.00,"£17,978.68",2025,749
1,(1.07),0,1,0,0.48 ,(0.00),(1.23),3,0%,0.60,0.11,0%,(1.65),0,1,0,44,5,0,£0.00,"£5,459.07",2025,547
1,0.86 ,1,0,1,(1.61),(0.00),0.86 ,1,107%,0.20,0.23,0%,0.38 ,0,0,0,22,5,0,"£130,056.23","£121,894.31",2025,734
1,(0.40),0,1,1,(0.56),(0.00),(0.11),1,774%,0.20,0.15,0%,(1.58),0,0,0,33,5,1,"£69,478.57","£8,973.67",2025,612
1,(0.87),1,0,1,(0.85),(0.00),(1.23),1,0%,0.20,0.17,0%,(0.79),0,0,0,30,5,1,£0.00,"£54,926.51",2025,566
1,0.50 ,1,0,1,2.39 ,1.38 ,0.59 ,1,404%,0.11,0.14,0%,(1.25),0,0,0,64,9,1,"£113,109.52","£27,980.80",2025,699
1,(1.29),0,0,1,1.06 ,(0.00),0.77 ,1,78%,0.20,0.10,20%,1.03 ,1,0,1,50,5,0,"£124,233.24","£159,456.87",2025,526
1,0.63 ,1,0,0,(1.33),(0.00),1.82 ,1,370%,0.20,0.20,0%,(0.85),0,1,0,25,5,0,"£190,066.54","£51,345.39",2025,711
1,(0.06),0,1,0,0.96 ,(0.00),0.54 ,3,59%,0.60,0.10,60%,1.52 ,1,1,0,49,5,0,"£110,132.55","£187,689.91",2025,645
1,0.14 ,0,0,0,0.96 ,(0.00),0.82 ,2,117%,0.40,0.10,0%,0.15 ,0,1,1,49,5,1,"£127,421.78","£108,876.75",2025,664
1,(0.50),0,0,0,(1.23),1.03 ,0.60 ,1,57%,0.13,0.31,0%,1.70 ,0,1,1,26,8,1,"£113,674.20","£197,861.16",2025,602
1,(1.79),0,1,1,0.87 ,(1.73),0.11 ,2,189%,2.00,0.00,200%,(0.97),1,0,0,48,0,0,"£83,287.05","£44,147.95",2025,478
1,(0.84),0,1,1,(0.47),(1.73),1.21 ,1,148%,1.00,0.00,0%,0.04 ,0,0,0,34,0,1,"£151,839.26","£102,299.81",2025,569
1,0.93 ,1,0,0,2.01 ,(0.00),0.51 ,2,416%,0.40,0.08,0%,(1.29),0,1,0,60,5,0,"£108,028.08","£25,980.42",2025,740
1,(2.24),0,1,1,1.53 ,0.34 ,(1.23),1,0%,0.17,0.11,17%,(0.46),1,0,0,55,6,0,£0.00,"£73,562.05",2025,434
1,0.92 ,1,0,0,(0.18),1.03 ,(1.23),2,0%,0.25,0.22,0%,1.59 ,0,1,0,37,8,1,£0.00,"£191,557.10",2025,739
1,(0.39),0,0,1,1.91 ,1.03 ,0.24 ,1,327%,0.13,0.14,0%,(1.25),0,0,1,59,8,0,"£91,415.76","£27,965.00",2025,613
1,(0.19),1,0,0,0.48 ,(0.70),0.92 ,1,387%,0.33,0.07,33%,(1.14),1,1,0,44,3,1,"£133,793.89","£34,607.14",2025,632
1,0.62 ,0,0,1,0.39 ,(1.04),1.02 ,3,89%,1.50,0.05,150%,1.01 ,1,0,1,43,2,1,"£140,080.32","£157,908.19",2025,710
1,(0.26),0,0,0,(0.37),(0.00),0.15 ,2,53%,0.40,0.14,0%,1.10 ,0,1,1,35,5,1,"£86,147.46","£163,440.80",2025,625
1,0.63 ,1,0,1,1.15 ,0.69 ,(1.23),3,0%,0.43,0.14,0%,(1.07),0,0,0,51,7,1,£0.00,"£38,409.79",2025,711
1,(0.06),0,1,1,0.48 ,1.03 ,0.60 ,2,76%,0.25,0.18,0%,0.86 ,0,0,0,44,8,1,"£113,755.78","£149,756.71",2025,645
1,1.09 ,1,0,1,2.01 ,(1.04),(1.23),1,0%,0.50,0.03,50%,1.16 ,1,0,0,60,2,1,£0.00,"£166,513.49",2025,756
1,(0.95),0,1,1,2.68 ,1.38 ,0.79 ,1,72%,0.11,0.13,0%,1.32 ,0,0,0,67,9,1,"£125,919.35","£175,910.95",2025,559
1,(1.43),0,1,1,(0.28),(1.39),(1.23),1,0%,1.00,0.03,100%,0.62 ,1,0,0,36,1,0,£0.00,"£135,482.26",2025,512
1,(0.54),1,0,0,0.10 ,(1.04),1.52 ,1,124%,0.50,0.05,0%,0.66 ,0,1,0,40,2,1,"£171,178.25","£137,980.58",2025,598
1,1.64 ,0,0,1,1.06 ,1.72 ,0.67 ,1,117%,0.10,0.20,10%,0.01 ,1,0,1,50,10,1,"£118,098.62","£100,720.02",2025,809
1,0.09 ,1,0,1,(0.95),0.34 ,0.75 ,1,216%,0.17,0.21,17%,(0.75),1,0,0,29,6,1,"£123,192.12","£56,971.41",2025,659
1,0.42 ,0,0,0,(0.18),0.69 ,0.75 ,1,125%,0.14,0.19,14%,(0.03),1,1,1,37,7,1,"£123,067.63","£98,162.44",2025,691
1,1.70 ,1,0,1,0.58 ,0.69 ,(1.23),1,0%,0.14,0.16,14%,(0.82),1,0,0,45,7,0,£0.00,"£52,885.23",2025,815
1,(0.54),0,0,1,(0.09),(1.39),0.40 ,1,134%,1.00,0.03,100%,(0.42),1,0,1,38,1,1,"£101,487.18","£75,959.10",2025,598
1,1.32 ,0,0,0,(0.37),(1.39),1.21 ,3,116%,3.00,0.03,300%,0.54 ,1,1,1,35,1,1,"£151,958.19","£131,238.37",2025,778
1,1.75 ,0,0,1,0.01 ,1.38 ,0.56 ,1,664%,0.11,0.23,0%,(1.45),0,0,1,39,9,1,"£111,336.89","£16,770.31",2025,820
1,0.65 ,1,0,0,(0.66),(1.39),0.65 ,1,78%,1.00,0.03,0%,0.86 ,0,1,0,32,1,0,"£117,094.02","£149,558.83",2025,713
1,(1.30),1,0,1,1.15 ,1.72 ,(1.23),3,0%,0.30,0.20,0%,1.23 ,0,0,0,51,10,1,£0.00,"£171,045.35",2025,525
1,0.67 ,1,0,1,0.20 ,(0.35),0.28 ,1,62%,0.25,0.10,25%,0.92 ,1,0,0,41,4,0,"£94,267.90","£152,821.12",2025,715
1,(1.67),1,0,0,1.15 ,(0.70),(1.23),2,0%,0.67,0.06,67%,1.29 ,1,1,0,51,3,0,£0.00,"£174,098.28",2025,489
1,0.32 ,0,0,0,0.48 ,(0.35),0.23 ,2,376%,0.50,0.09,0%,(1.32),0,1,1,44,4,0,"£91,115.76","£24,208.84",2025,681
1,(0.19),0,0,1,0.87 ,0.34 ,0.79 ,1,196%,0.17,0.13,0%,(0.62),0,0,1,48,6,1,"£126,066.26","£64,345.61",2025,632
1,(0.70),1,0,0,1.72 ,(0.70),2.59 ,1,161%,0.33,0.05,33%,0.83 ,1,1,0,57,3,0,"£238,387.56","£147,964.99",2025,583
1,0.44 ,0,0,1,0.48 ,(0.00),0.77 ,2,265%,0.40,0.11,40%,(0.92),1,0,1,44,5,1,"£124,601.58","£46,998.13",2025,693
1,0.02 ,0,0,0,0.58 ,1.38 ,0.55 ,1,72%,0.11,0.20,11%,0.93 ,1,1,1,45,9,1,"£110,827.49","£153,383.54",2025,652
1,(2.23),0,0,1,(0.18),1.03 ,0.61 ,1,11657%,0.13,0.22,13%,(1.72),1,0,1,37,8,0,"£114,346.30",£980.93,2025,435
1,(0.57),0,0,1,0.67 ,(0.00),1.06 ,2,294%,0.40,0.11,0%,(0.90),0,0,1,46,5,1,"£142,360.62","£48,421.40",2025,595
1,(0.84),0,0,1,(0.37),(1.04),0.52 ,3,100%,1.50,0.06,0%,0.16 ,0,0,1,35,2,1,"£109,196.66","£109,393.19",2025,569
1,0.49 ,1,0,0,1.15 ,0.34 ,1.09 ,4,92%,0.67,0.12,0%,0.99 ,0,1,0,51,6,1,"£144,237.91","£157,143.61",2025,698
1,(0.03),0,1,0,0.39 ,0.69 ,0.07 ,1,56%,0.14,0.16,14%,0.77 ,1,1,0,43,7,1,"£81,153.82","£144,532.85",2025,648
1,(3.11),1,0,0,2.01 ,(0.70),(1.23),1,0%,0.33,0.05,0%,0.24 ,0,1,0,60,3,0,£0.00,"£113,796.15",2025,350
1,(0.33),1,0,1,0.48 ,(0.70),0.65 ,1,2305%,0.33,0.07,0%,(1.65),0,0,0,44,3,1,"£116,967.68","£5,075.17",2025,619
1,(0.74),0,1,1,(0.56),0.34 ,(1.23),1,0%,0.17,0.18,0%,(0.09),0,0,0,33,6,1,£0.00,"£94,993.04",2025,579
1,(0.91),0,0,1,0.20 ,(1.04),0.39 ,1,518%,0.50,0.05,50%,(1.40),1,0,1,41,2,1,"£100,520.92","£19,412.80",2025,563
1,0.14 ,1,0,1,1.44 ,1.03 ,(1.23),1,0%,0.13,0.15,13%,1.09 ,1,0,0,54,8,1,£0.00,"£162,719.69",2025,664
1,0.40 ,0,1,0,1.72 ,(0.35),(1.23),2,0%,0.50,0.07,0%,0.64 ,0,1,0,57,4,1,£0.00,"£136,649.80",2025,689
1,2.06 ,0,1,1,0.01 ,0.34 ,2.08 ,2,482%,0.33,0.15,33%,(1.00),1,0,0,39,6,0,"£206,014.94","£42,774.84",2025,850
1,(0.38),0,0,0,(0.18),0.34 ,0.32 ,2,69%,0.33,0.16,33%,0.68 ,1,1,1,37,6,1,"£96,340.81","£139,377.24",2025,614
1,1.51 ,0,0,0,1.25 ,1.38 ,1.45 ,1,266%,0.11,0.17,11%,(0.65),1,1,1,52,9,1,"£167,194.36","£62,808.93",2025,796
1,0.05 ,0,0,1,0.20 ,1.03 ,0.79 ,1,77%,0.13,0.20,0%,1.11 ,0,0,1,41,8,0,"£125,561.97","£164,040.94",2025,655
1,(1.30),1,0,0,1.91 ,0.34 ,(0.34),1,66%,0.17,0.10,0%,(0.29),0,1,0,59,6,1,"£55,328.40","£83,342.73",2025,525
1,0.72 ,0,0,1,0.67 ,(0.70),0.33 ,1,73%,0.33,0.07,33%,0.58 ,1,0,1,46,3,1,"£97,042.60","£133,516.51",2025,720
1,0.08 ,1,0,0,(0.37),(0.00),0.80 ,1,81%,0.20,0.14,0%,0.98 ,0,1,0,35,5,0,"£126,397.66","£156,361.58",2025,658
1,(0.85),0,1,0,0.39 ,1.38 ,(1.23),1,0%,0.11,0.21,0%,0.45 ,0,1,0,43,9,1,£0.00,"£125,870.79",2025,568
1,1.78 ,0,0,0,1.34 ,(0.35),0.78 ,1,95%,0.25,0.08,25%,0.54 ,1,1,1,53,4,0,"£124,954.94","£131,259.60",2025,823
1,0.08 ,1,0,0,0.10 ,0.69 ,1.03 ,1,104%,0.14,0.18,14%,0.62 ,1,1,0,40,7,0,"£140,596.95","£135,459.02",2025,658
1,0.72 ,0,0,0,(0.95),0.69 ,0.48 ,1,152%,0.14,0.24,14%,(0.52),1,1,1,29,7,1,"£106,230.92","£69,903.93",2025,720
1,(0.98),1,0,0,1.15 ,1.03 ,(0.24),1,31%,0.13,0.16,0%,1.72 ,0,1,0,51,8,1,"£61,354.14","£198,810.65",2025,556
1,(0.23),1,0,0,(0.76),(0.00),(1.23),1,0%,0.20,0.16,0%,0.83 ,0,1,0,31,5,0,£0.00,"£147,963.07",2025,628
1,0.04 ,1,0,1,(0.66),1.38 ,0.72 ,1,64%,0.11,0.28,0%,1.56 ,0,0,0,32,9,1,"£121,455.65","£190,068.53",2025,654
1,0.03 ,0,0,0,(0.18),(0.70),0.79 ,2,93%,0.67,0.08,0%,0.60 ,0,1,1,37,3,1,"£125,734.20","£134,625.09",2025,653
1,1.15 ,0,1,0,(0.37),(0.70),0.69 ,3,253%,1.00,0.09,100%,(0.92),1,1,0,35,3,1,"£119,349.69","£47,114.18",2025,762
1,1.24 ,1,0,0,2.77 ,(1.04),1.72 ,1,115%,0.50,0.03,0%,1.03 ,0,1,0,68,2,0,"£183,555.24","£159,557.28",2025,770
1,(0.03),0,1,1,0.96 ,(0.00),(1.23),1,0%,0.20,0.10,0%,0.87 ,0,0,0,49,5,1,£0.00,"£149,946.43",2025,648
1,(1.38),1,0,1,2.20 ,(1.39),(0.52),3,23%,3.00,0.02,0%,1.52 ,0,0,0,62,1,1,"£43,772.66","£187,756.24",2025,517
1,0.89 ,1,0,1,1.44 ,1.38 ,(1.23),1,0%,0.11,0.17,0%,(0.29),0,0,0,54,9,1,£0.00,"£83,470.40",2025,737
1,0.40 ,1,0,1,0.77 ,(1.39),0.28 ,3,60%,3.00,0.02,0%,0.99 ,0,0,0,47,1,1,"£93,871.95","£156,878.42",2025,689
1,(0.47),0,1,0,1.72 ,(1.04),(1.23),3,0%,1.50,0.04,0%,(0.58),0,1,0,57,2,1,£0.00,"£66,652.75",2025,605
1,(0.72),1,0,1,1.44 ,(0.35),0.21 ,1,1607%,0.25,0.07,0%,(1.64),0,0,0,54,4,0,"£89,299.81","£5,558.47",2025,581
1,(0.26),1,0,0,(0.28),(0.70),(1.23),2,0%,0.67,0.08,0%,(1.02),0,1,0,36,3,1,£0.00,"£41,295.10",2025,625
1,0.13 ,0,1,1,1.25 ,(1.73),0.96 ,1,94%,1.00,0.00,0%,0.77 ,0,0,0,52,0,1,"£136,298.65","£144,593.30",2025,663
1,(0.87),0,0,1,2.49 ,(0.35),0.70 ,1,112%,0.25,0.06,0%,0.13 ,0,0,1,65,4,1,"£120,100.41","£107,563.16",2025,566
1,(0.35),1,0,0,(1.04),(1.73),(1.23),2,0%,2.00,0.00,200%,(1.61),1,1,0,28,0,1,£0.00,"£7,597.83",2025,617
1,0.27 ,1,0,0,1.63 ,(1.73),0.70 ,1,76%,1.00,0.00,0%,1.01 ,0,1,0,56,0,0,"£119,963.45","£158,325.87",2025,677
1,0.73 ,1,0,0,1.53 ,(0.70),(0.52),1,67%,0.33,0.05,0%,(0.60),0,1,0,55,3,1,"£44,020.89","£65,864.40",2025,721
1,(0.64),1,0,1,(0.18),0.69 ,0.14 ,2,98%,0.29,0.19,0%,(0.24),0,0,0,37,7,1,"£85,146.48","£86,490.09",2025,589
1,(0.95),0,1,1,(1.42),(0.70),0.61 ,1,134%,0.33,0.13,0%,(0.25),0,0,0,24,3,1,"£114,739.92","£85,891.02",2025,559
1,(1.26),1,0,0,0.39 ,(1.73),0.76 ,1,158%,1.00,0.00,100%,(0.38),1,1,0,43,0,1,"£123,815.86","£78,463.99",2025,529
1,1.07 ,0,0,0,1.53 ,(0.70),1.36 ,1,2000%,0.33,0.05,0%,(1.60),0,1,1,55,3,1,"£161,608.81","£8,080.85",2025,754
1,(0.63),1,0,0,1.44 ,(0.35),(1.23),2,0%,0.50,0.07,50%,(0.11),1,1,0,54,4,1,£0.00,"£93,820.49",2025,590
1,(1.05),1,0,0,1.25 ,(1.39),(1.23),1,0%,1.00,0.02,100%,(1.59),1,1,0,52,1,0,£0.00,"£8,636.05",2025,549
1,(0.65),0,0,1,0.96 ,0.34 ,0.90 ,3,365%,0.50,0.12,0%,(1.11),0,0,1,49,6,1,"£132,623.76","£36,292.94",2025,588
1,0.34 ,0,0,0,1.72 ,(0.00),1.38 ,1,1762%,0.20,0.09,0%,(1.58),0,1,1,57,5,0,"£162,448.69","£9,221.78",2025,683
1,(0.07),0,0,0,1.15 ,(0.35),0.31 ,1,132%,0.25,0.08,0%,(0.48),0,1,1,51,4,0,"£95,560.04","£72,628.84",2025,644
1,(0.61),1,0,1,2.01 ,1.38 ,(1.23),4,0%,0.44,0.15,44%,(1.50),1,0,0,60,9,1,£0.00,"£13,614.01",2025,592
1,(0.26),1,0,0,0.58 ,(0.70),(1.23),1,0%,0.33,0.07,33%,1.47 ,1,1,0,45,3,1,£0.00,"£184,474.15",2025,625
1,(2.60),0,0,1,0.67 ,(1.04),0.82 ,1,91%,0.50,0.04,0%,0.69 ,0,0,1,46,2,1,"£127,655.22","£139,994.68",2025,399
1,0.11 ,0,0,1,0.48 ,(1.39),1.04 ,1,74%,1.00,0.02,0%,1.56 ,0,0,1,44,1,1,"£141,136.62","£189,742.78",2025,661
1,(0.51),1,0,1,0.67 ,(1.04),0.37 ,1,305%,0.50,0.04,50%,(1.17),1,0,0,46,2,1,"£99,786.07","£32,683.88",2025,601
1,(1.35),0,0,0,(0.76),(0.70),0.52 ,1,59%,0.33,0.10,33%,1.45 ,1,1,1,31,3,1,"£108,914.17","£183,572.39",2025,520
